0   415   0.85   0.146738   0.126474
1   415   0.75   0.016653   0.113727
2   415   0.65   0.142997   0.112508
3   415   0.55   -0.00833823   0.10984
4   415   0.45   -0.345555   0.107139
5   415   0.35   -0.417892   0.1043
6   415   0.25   -0.331696   0.10248
7   415   0.15   -0.172226   0.0958887
8   415   0.05   -0.575621   0.0981104
9   415   -0.05   -0.0545832   0.0985314
10   415   -0.15   0.00272549   0.0976264
11   415   -0.25   -0.609434   0.10174
12   415   -0.35   -0.0208726   0.104109
13   415   -0.45   -0.28347   0.0948
14   415   -0.55   -0.210885   0.0947427
15   415   -0.65   -0.407609   0.0978142
16   415   -0.75   0.0199022   0.109318
17   415   -0.85   0.148095   0.166452
18   425   0.85   0.208895   0.120352
19   425   0.75   -0.148956   0.110245
20   425   0.65   0.0731055   0.106702
21   425   0.55   -0.118873   0.101989
22   425   0.45   -0.245131   0.101409
23   425   0.35   -0.247463   0.0978043
24   425   0.25   -0.45077   0.0981821
25   425   0.15   -0.375122   0.0901596
26   425   0.05   -0.265463   0.0907495
27   425   -0.05   -0.265892   0.0934594
28   425   -0.15   -0.538705   0.0932693
29   425   -0.25   -0.441722   0.0943267
30   425   -0.35   -0.354029   0.0978913
31   425   -0.45   -0.209173   0.0905019
32   425   -0.55   -0.377877   0.0906028
33   425   -0.65   -0.176984   0.0921406
34   425   -0.75   -0.286354   0.102851
35   425   -0.85   -0.0603459   0.152358
36   435   0.85   0.122849   0.113715
37   435   0.75   0.0381132   0.101456
38   435   0.65   -0.120195   0.10004
39   435   0.55   -0.0807153   0.0963367
40   435   0.45   -0.262024   0.0953482
41   435   0.35   -0.306958   0.0912965
42   435   0.25   -0.322095   0.0931247
43   435   0.15   -0.203807   0.0852349
44   435   0.05   -0.173696   0.0845254
45   435   -0.05   -0.322168   0.0867555
46   435   -0.15   -0.354652   0.0873075
47   435   -0.25   -0.396917   0.0905959
48   435   -0.35   -0.186345   0.0896273
49   435   -0.45   -0.343683   0.0852389
50   435   -0.55   -0.482724   0.0819709
51   435   -0.65   -0.223786   0.0861743
52   435   -0.75   -0.336543   0.0929938
53   435   -0.85   -0.629465   0.133979
54   445   0.85   0.291836   0.097851
55   445   0.75   0.0883185   0.0914332
56   445   0.65   -0.109459   0.0874353
57   445   0.55   -0.213423   0.0862147
58   445   0.45   -0.16567   0.0835842
59   445   0.35   -0.279183   0.0803694
60   445   0.25   -0.270345   0.0811551
61   445   0.15   -0.0826674   0.0745264
62   445   0.05   -0.272579   0.0740742
63   445   -0.05   -0.137364   0.0754029
64   445   -0.15   -0.194795   0.0762856
65   445   -0.25   -0.205584   0.0793855
66   445   -0.35   -0.485631   0.0790998
67   445   -0.45   -0.343455   0.0755938
68   445   -0.55   -0.419353   0.0715447
69   445   -0.65   -0.237505   0.0749077
70   445   -0.75   -0.164703   0.0809623
71   445   -0.85   -0.459557   0.113758
72   455   0.85   0.0930128   0.103419
73   455   0.75   0.0273326   0.095804
74   455   0.65   0.169408   0.0942219
75   455   0.55   -0.145035   0.0914229
76   455   0.45   0.0111001   0.0888687
