Values
-0.108789,-0.00351231,0.0745106,-0.0212016,
0.0238184,-0.00920255,0.0305606,-0.0102357,
0.00122185,-0.00178142,0.00443995,-0.00475638,
0.0053259,-0.000654791,0.00357104,-0.00188238,
0.0029975,-0.00211263,0.0038967,-0.00364359,
0.00145595,-0.000508676,0.00133931,-0.00115101,
0,0,0,0,
Errors
0.0117154,0.0145275,0.00995927,0.0083138,
0.00659844,0.00815144,0.00555855,0.00462971,
0.0045234,0.00556334,0.00377952,0.00312741,
0.00359515,0.00441473,0.00302053,0.00248303,
0.00273471,0.00336766,0.00231763,0.00190911,
0.00235227,0.00289976,0.0020076,0.00164492,
0,0,0,0,

Values
-0.108754,-0.00356053,0.0745446,-0.0212027,
0.0238134,-0.00919569,0.0305643,-0.0102451,
0.00121507,-0.00177259,0.0044306,-0.00475281,
0.00533593,-0.000667558,0.00358099,-0.00188308,
0.0029606,-0.00206478,0.00386589,-0.00364641,
0.00146578,-0.000521466,0.0013484,-0.00115159,
0,0,0,0,
Errors
0.0117154,0.0145275,0.00995927,0.0083138,
0.00659844,0.00815144,0.00555855,0.00462971,
0.0045234,0.00556333,0.00377952,0.00312741,
0.00359515,0.00441473,0.00302053,0.00248303,
0.00273471,0.00336765,0.00231762,0.00190911,
0.00235227,0.00289976,0.0020076,0.00164492,
0,0,0,0,






