
Values
-3.29236,10.3914,-16.7235,16.9178,-11.2575,4.55871,-0.808463,
-0.665532,2.15889,-3.56177,3.93884,-3.00244,1.46481,-0.332641,
0.725281,-2.22927,3.50156,-3.64634,2.68936,-1.34056,0.351396,
-0.553903,1.90336,-3.23066,3.48595,-2.51604,1.15613,-0.263312,
-0.0249396,0.234634,-0.621909,0.882969,-0.76214,0.389725,-0.0933689,
-0.340975,1.11186,-1.84988,2.02557,-1.53873,0.766541,-0.194683,
0,0,0,0,0,0,0,
Errors
0.0598415,0.0820434,0.0122794,0.0549066,0.0101141,0.0588834,0.0395243,
0.0198217,0.0257088,0.00649627,0.0170276,0.00639847,0.0156658,0.0118907,
0.00926858,0.00950729,0.00423096,0.00702879,0.00363774,0.00807189,0.00631774,
0.00992968,0.0108985,0.00434364,0.00970049,0.00360472,0.0128472,0.00825753,
0.00696066,0.00745725,0.00321627,0.00667688,0.00254279,0.00839743,0.00555902,
0.0101448,0.0155664,0.00517251,0.00723066,0.00454176,0.00425713,0.00428209,
0,0,0,0,0,0,0,

2.99203,-11.6753,22.4077,-27.858,23.5892,-12.9431,3.63412,
-1.67285,5.72189,-9.9412,11.3262,-8.83277,4.43907,-1.10018,
0.648495,-1.96551,3.04773,-3.14691,2.31897,-1.16499,0.309782,
-0.884155,3.09574,-5.41028,6.06124,-4.58708,2.23079,-0.544889,
-0.134468,0.560091,-1.0877,1.2847,-0.972672,0.445549,-0.0954476,
-0.460013,1.41646,-2.17844,2.15514,-1.45138,0.633165,-0.139968,
0,0,0,0,0,0,0,
Errors
0.0186005,0.0245129,0.0207498,0.0193895,0.0178788,0.0180634,0.0120939,
0.0102835,0.0134829,0.0113874,0.0105955,0.0097473,0.00981033,0.0065908,
0.00698575,0.00911475,0.00767362,0.00710237,0.0065157,0.00653866,0.00441064,
0.00542185,0.00703949,0.00593895,0.00550025,0.00505964,0.00508222,0.00344486,
0.00423913,0.00553335,0.0046663,0.00433196,0.00399039,0.0040243,0.00272008,
0.00353928,0.00460135,0.00388868,0.00360703,0.00332274,0.00333902,0.00226802,
0,0,0,0,0,0,0,
